POSTCODE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1086,1211.5,1553.5,1722.5,1832.5,1850.5,1843.5,1850.5,1863.5,1868.5,1891.5
1087,5620.5,6541.5,6911.0,7265.0,7336.0,7359.5,7416.0,7739.0,8241.5,8395.0
1091,9869.0,10040.0,10147.5,10214.5,10648.5,10911.0,11221.5,11371.5,11454.0,11752.5
1092,5298.0,5341.0,5398.5,5429.5,5467.5,5507.5,5710.5,5760.5,5796.5,5815.5
1093,5710.0,5822.0,5858.5,5892.5,5953.5,6366.5,6431.5,6784.5,7011.5,7109.5
1094,8370.0,8575.0,8751.0,8851.0,8938.0,8976.0,9022.0,9228.0,9463.0,9528.0
1095,5911.0,6088.0,6120.0,6175.0,6319.0,6440.0,6702.0,6883.0,7458.0,8144.0
1096,892.0,926.5,932.0,935.5,1082.0,1176.5,1837.5,1921.5,2079.5,2298.5
1097,7499.0,7518.5,7538.0,7551.5,7693.0,7800.5,8040.5,8182.5,8186.5,8209.5
1098,6648.0,6675.0,6793.0,6813.0,6848.0,6811.0,6833.5,7006.5,7034.5,7057.5
1099,99.0,147.0,150.0,160.0,156.0,55.0,9.5,9.5,9.5,9.5
1044,0,0,96.0,97.0,99.5,95.5,98.0,101.5,89.0,107.5
