POSTCODE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1086,1235.0,1624.0,1811.0,1922.0,1928.0,1867.0,1862.0,1868.0,1865.0,1857.0
1087,5618.0,6531.0,6890.0,7223.0,7268.0,7138.0,7168.0,7448.0,7926.0,7942.0
1091,18519.0,18822.0,19002.0,19100.0,19887.0,20375.0,20890.0,21134.0,21245.0,21806.0
1092,9973.0,10042.0,10133.0,10186.0,10238.0,10307.0,10692.0,10764.0,10809.0,10820.0
1093,10494.0,10688.0,10754.0,10806.0,10896.0,11686.0,11807.0,12335.0,12760.0,12927.0
1094,15146.0,15538.0,15868.0,16047.0,16194.0,16250.0,16340.0,16718.0,17175.0,17284.0
1095,10846.0,11167.0,11223.0,11305.0,11545.0,11732.0,12062.0,12282.0,12858.0,13361.0
1096,1217.0,1252.0,1259.0,1264.0,1411.0,1483.0,2150.0,2232.0,2415.0,2503.0
1097,14362.0,14377.0,14398.0,14418.0,14555.0,14636.0,14967.0,15120.0,15089.0,15104.0
1098,11858.0,11889.0,12107.0,12123.0,12150.0,12067.0,12106.0,12414.0,12431.0,12443.0
1099,202.0,250.0,244.0,256.0,184.0,62.0,9.0,9.0,9.0,9.0
1044,0,0,96.0,97.0,100.0,96.0,98.0,102.0,89.0,108.0
