POSTCODE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1087,5250.0,6034.0,6628.0,6952.0,7032.0,6940.0,6953.0,7186.0,7577.0,7743.0
1091,9326.0,9398.0,9474.0,9282.0,9277.0,9517.0,9672.0,9780.0,9827.0,10101.0
1092,4965.0,4960.0,4979.0,5006.0,4886.0,4860.0,4885.0,5037.0,5084.0,5101.0
1093,5214.0,5126.0,5137.0,5142.0,5151.0,5352.0,5540.0,5796.0,6007.0,6131.0
1094,7092.0,7206.0,7328.0,7365.0,7391.0,7301.0,7281.0,7235.0,7329.0,7292.0
1095,5571.0,5696.0,5670.0,5665.0,5701.0,5649.0,5761.0,5810.0,6179.0,6974.0
1096,835.0,862.0,865.0,854.0,845.0,1012.0,1693.0,1722.0,1890.0,2077.0
1097,7285.0,7267.0,7278.0,7268.0,7267.0,7358.0,7404.0,7537.0,7529.0,7402.0
1098,6505.0,6519.0,6522.0,6617.0,6633.0,6541.0,6511.0,6498.0,6667.0,6677.0
1099,80.0,120.0,117.0,123.0,114.0,30.0,3.0,3.0,3.0,3.0
1044,0,0,72.0,68.0,70.0,62.0,63.0,65.0,60.0,66.0
